,Division,Type,Name,lat,long,newName,Party,Ethnicity,Gender,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3
0,MARSILING-YEW TEE,GRC,Alex Yam,103.76572659755615,1.4232251406725156,Alex_Yam,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
1,TANJONG PAGAR,GRC,Alvin Tan,103.82305861072145,1.3016850069672519,Alvin_Tan,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
2,HONG KAH NORTH,SMC,Amy Khor,103.73197170379285,1.3627565794708019,Amy_Khor,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Transport,Sustainability and the Environment,,Senior Minister of State,Senior Minister of State,
3,WEST COAST,GRC,Ang Wei Neng,103.70596113525787,1.2890019271367006,Ang_Wei_Neng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Health,Transport,,GPC Member,GPC Member,
4,TAMPINES,GRC,Baey Yam Keng,103.94152145341093,1.3594384514422568,Baey_Yam_Keng,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Transport,,,Senior Parliamentary Secretary,,
5,NEE SOON,GRC,Carrie Tan,103.83152640469943,1.4237399423174648,Carrie_Tan,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
6,TANJONG PAGAR,GRC,Chan Chun Sing,103.82305861072145,1.3016850069672519,Chan_Chun_Sing,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Trade and Industry,,,,,
7,BISHAN-TOA PAYOH,,Chee Hong Tat,103.83200104426263,1.3457748681686967,Chee_Hong_Tat,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Foreign Affairs,Transport,,Senior Minister of State,Senior Minister of State,
8,TAMPINES,GRC,Cheng Li Hui,103.94152145341093,1.3594384514422568,Cheng_Li_Hui,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
9,EAST COAST,GRC,Cheryl Chan,104.0039252255161,1.3696027642662085,Cheryl_Chan,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
10,BISHAN-TOA PAYOH,GRC,Chong Kee Hiong,103.83200104426263,1.3457748681686967,Chong_Kee_Hiong,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
11,HOLLAND-BUKIT TIMAH,GRC,Christopher de Souza,103.78784256612474,1.3658475267644983,Christopher_de_Souza,People's Action Party,Eurasian,Male,MP,14.0,Backbencher,Law,Home Affairs,,GPC Member,,
12,ANG MO KIO,GRC,Darryl David,103.86714718048466,1.3952294508760836,Darryl_David,People's Action Party,Indian,Male,MP,14.0,Backbencher,,,,,,
13,JALAN BESAR,GRC,Denise Phua,103.85724253059061,1.3002027735192085,Denise_Phua,People's Action Party,Chinese,Female,MP,14.0,Backbencher,Education,Social & Family Development,,GPC Member,GPC Member,
14,HOUGANG,SMC,Dennis Tan,103.89490791126292,1.3684003047158164,Dennis_Tan,Workers' Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
15,NEE SOON,GRC,Derrick Goh,103.83152640469943,1.4237399423174648,Derrick_Goh,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
16,TAMPINES,GRC,Desmond Choo,103.94152145341093,1.3594384514422568,Desmond_Choo,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
17,WEST COAST,GRC,Desmond Lee,103.70596113525787,1.2890019271367006,Desmond_Lee,People's Action Party,Chinese,Male,MP,14.0,Cabinet,National Development,,,Minister,,
18,PASIR RIS-PUNGGOL,GRC,Desmond Tan,103.93133564966094,1.3897010798327318,Desmond_Tan,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Home Affairs,Sustainability and the Environment,,Minister of State,Minister of State,
19,CHUA CHU KANG,GRC,Don Wee,103.70446433188238,1.394100444743377,Don_Wee,,,,,,,,,,,,
20,HOLLAND-BUKIT TIMAH,GRC,Edward Chia,103.78784256612474,1.3658475267644983,Edward_Chia,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
21,MARINE PARADE,GRC,Edwin Tong,103.90294501309562,1.323185931283781,Edwin_Tong,People's Action Party,Chinese,Male,MP,14.0,Cabinet,"Culture, Community and Youth",Law,,Minister,Second Minister,
22,TANJONG PAGAR,GRC,Eric Chua,103.82305861072145,1.3016850069672519,Eric_Chua,People's Action Party,Chinese,Male,MP,14.0,Cabinet,"Culture, Community and Youth",Social & Family Development,,Parliamentary Secretaries,Parliamentary Secretaries,
23,WEST COAST,GRC,Foo Mee Har,103.70596113525787,1.2890019271367006,Foo_Mee_Har,People's Action Party,Chinese,Female,MP,14.0,Backbencher,Education,Finance,Trade and Industry,GPC Member,GPC Deputy Chairperson,GPC Deputy Chairperson
24,CHUA CHU KANG,GRC,Gan Kim Yong,103.70446433188238,1.394100444743377,Gan_Kim_Yong,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Health,,,Minister,,
25,MARYMOUNT,SMC,Gan Siow Huang,103.84275212493193,1.3577485419506994,Gan_Siow_Huang,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Manpower,Education,,Minister of State,Minister of State,
26,ANG MO KIO,GRC,Gan Thiam Poh,103.86714718048466,1.3952294508760836,Gan_Thiam_Poh,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Transport,Sustainability and the Environment,,GPC Member,GPC Member,
27,ALJUNIED,GRC,Gerald Giam,103.90292967503645,1.355507088429944,Gerald_Giam,Workers' Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
28,YUHUA,SMC,Grace Fu,103.7381961001556,1.3394543577877986,Grace_Fu,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Sustainability and the Environment,,,,,
29,MARSILING-YEW TEE,GRC,Hany Soh,103.76572659755615,1.4232251406725156,Hany_Soh,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
30,SENGKANG,GRC,He Ting Ru,103.89704746574907,1.3901613973187283,He_Ting_Ru,Workers' Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
31,JALAN BESAR,GRC,Heng Chee How,103.85724253059061,1.3002027735192085,Heng_Chee_How,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Defence,,,Senior Minister of State,,
32,EAST COAST,GRC,Heng Swee Keat,104.0039252255161,1.3696027642662085,Heng_Swee_Keat,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Finance,,,Minister,,
33,KEBUN BARU,SMC,Henry Kwek,103.82578398809954,1.3815915079988257,Henry_Kwek,,,,,,,,,,,,
34,TANJONG PAGAR,GRC,Indranee Rajah,103.82305861072145,1.3016850069672519,Indranee_Rajah,People's Action Party,Indian,Female,MP,14.0,Cabinet,PMO,National Development,Finance,Minister,Second Minister,Second Minister
35,SENGKANG,GRC,Jamus Lim,103.89704746574907,1.3901613973187283,Jamus_Lim,Workers' Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
36,PASIR RIS-PUNGGOL,GRC,Janil Puthucheary,103.93133564966094,1.3897010798327318,Janil_Puthucheary,People's Action Party,Indian,Male,MP,14.0,Cabinet,Health,Communications & Information,,Senior Minister of State,Senior Minister of State,
37,EAST COAST,GRC,Jessica Tan,104.0039252255161,1.3696027642662085,Jessica_Tan,People's Action Party,Chinese,Female,MP,14.0,Backbencher,Finance,Trade and Industry,,GPC Member,GPC Member,
38,TANJONG PAGAR,GRC,Joan Pereira,103.82305861072145,1.3016850069672519,Joan_Pereira,People's Action Party,Eurasian,Female,MP,14.0,Backbencher,,,,,,
39,JALAN BESAR,GRC,Josephine Teo,103.85724253059061,1.3002027735192085,Josephine_Teo,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Manpower,Home Affairs,,Minister,Second Minister,
40,NEE SOON,GRC,K. Shanmugam,103.83152640469943,1.4237399423174648,K._Shanmugam,People's Action Party,Indian,Male,MP,14.0,Cabinet,Law,Home Affairs,,Minister,Minister,
41,TAMPINES,GRC,Koh Poh Koon,103.94152145341093,1.3594384514422568,Koh_Poh_Koon,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Health,,,Senior Minister of State,,
42,MARSILING-YEW TEE,GRC,Lawrence Wong,103.76572659755615,1.4232251406725156,Lawrence_Wong,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Education,Finance,,Minister,Second Minister,
43,ANG MO KIO,GRC,Lee Hsien Loong,103.86714718048466,1.3952294508760836,Lee_Hsien_Loong,People's Action Party,Chinese,Male,MP,14.0,Cabinet,PMO,,,Prime Minister,,
44,ALJUNIED,GRC,Leon Perera,103.90292967503645,1.355507088429944,Leon_Perera,Workers' Party,Eurasian,Male,MP,14.0,Backbencher,,,,,,
45,BUKIT PANJANG,SMC,Liang Eng Hwa,103.7730521601094,1.376833663842171,Liang_Eng_Hwa,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Finance,Trade and Industry,Manpower,GPC Chairperson,GPC Chairperson,GPC Member
46,MOUNTBATTEN,SMC,Lim Biow Chuan,103.88393209411706,1.2979552827111978,Lim_Biow_Chuan,People's Action Party,Chinese,Male,MP,14.0,Backbencher,National Development,Transport,,GPC Member,GPC Member,
47,SEMBAWANG,GRC,Lim Wee Kiak,103.80908110818795,1.4513477546371436,Lim_Wee_Kiak,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Health,Sustainability and the Environment,,GPC Member,GPC Member,
48,SENGKANG,GRC,Louis Chua,103.89704746574907,1.3901613973187283,Louis_Chua,Workers' Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
49,NEE SOON,GRC,Louis Ng,103.83152640469943,1.4237399423174648,Louis_Ng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
50,CHUA CHU KANG,GRC,Low Yen Ling,103.70446433188238,1.394100444743377,Low_Yen_Ling,People's Action Party,Chinese,Female,MP,14.0,Cabinet,"Culture, Community and Youth",Trade and Industry,,Minister of State,Minister of State,
51,EAST COAST,GRC,Maliki Osman,104.0039252255161,1.3696027642662085,Maliki_Osman,People's Action Party,Malay,Male,MP,14.0,Cabinet,PMO,Education,,Minister,Second Minister,
52,SEMBAWANG,GRC,Mariam Jaafar,103.80908110818795,1.4513477546371436,Mariam_Jaafar,,,,,,,,,,,,
53,TAMPINES,GRC,Masagos Zulkifli,103.94152145341093,1.3594384514422568,Masagos_Zulkifli,People's Action Party,Malay,Male,MP,14.0,Cabinet,Social & Family Development,Health,,Minister,Second Minister,
54,RADIN MAS,SMC,Melvin Yong,103.82015122165016,1.275978665139659,Melvin_Yong,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
55,PASIR RIS-PUNGGOL,GRC,Mohamed Sharael Taha,103.93133564966094,1.3897010798327318,Mohamed_Sharael_Taha,People's Action Party,Malay,Male,MP,14.0,Backbencher,,,,,,
56,MARINE PARADE,GRC,Mohd Fahmi Aliman,103.90294501309562,1.323185931283781,Mohd_Fahmi_Aliman,People's Action Party,Malay,Male,MP,14.0,Backbencher,,,,,,
57,ALJUNIED,GRC,Muhamad Faisal Manap,103.90292967503645,1.355507088429944,Muhamad_Faisal_Manap,Workers' Party,Malay,Male,MP,14.0,Backbencher,,,,,,
58,NEE SOON,GRC,Muhammad Faishal Ibrahim,103.83152640469943,1.4237399423174648,Muhammad_Faishal_Ibrahim,People's Action Party,Malay,Male,MP,14.0,Cabinet,Home Affairs,National Development,,Minister of State,Minister of State,
59,BUKIT BATOK,SMC,Murali Pillai,103.7471868103703,1.3475606739864474,Murali_Pillai,People's Action Party,Indian,Male,MP,14.0,Backbencher,,,,,,
60,ANG MO KIO,GRC,Nadia Ahmad Samdin,103.86714718048466,1.3952294508760836,Nadia_Ahmad_Samdin,People's Action Party,Malay,Female,MP,14.0,Backbencher,,,,,,
61,BISHAN-TOA PAYOH,GRC,Ng Eng Hen,103.83200104426263,1.3457748681686967,Ng_Eng_Hen,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Defence,,,Minister,,
62,ANG MO KIO,GRC,Ng Ling Ling,103.86714718048466,1.3952294508760836,Ng_Ling_Ling,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
63,SEMBAWANG,GRC,Ong Ye Kung,103.80908110818795,1.4513477546371436,Ong_Ye_Kung,People's Action Party,Chinese,Male,MP,14.0,Cabinet,Transport,,,Minister,,
64,PIONEER,SMC,Patrick Tay,103.70086108366782,1.3382007899953416,Patrick_Tay,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Education,Home Affairs,Law,GPC Chairperson,GPC Member,
65,SEMBAWANG,GRC,Poh Li San,103.80908110818795,1.4513477546371436,Poh_Li_San,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
66,ALJUNIED,GRC,Pritam Singh,103.90292967503645,1.355507088429944,Pritam_Singh,Workers' Party,Indian,Male,MP,14.0,Opposition,,,,,,
67,WEST COAST,GRC,Rachel Ong,103.70596113525787,1.2890019271367006,Rachel_Ong,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
68,SENGKANG,GRC,Raeesah Khan,103.89704746574907,1.3901613973187283,Raeesah_Khan,Workers' Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
69,JURONG,GRC,Rahayu Mahzam,103.74531091402933,1.3351045698818773,Rahayu_Mahzam,People's Action Party,Malay,Female,MP,14.0,Cabinet,Health,,,Parliamentary Secretaries,,
70,WEST COAST,GRC,S. Iswaran,103.70596113525787,1.2890019271367006,S._Iswaran,People's Action Party,Indian,Male,MP,14.0,Cabinet,Communications & Information,,,Minister,,
71,BISHAN-TOA PAYOH,GRC,Saktiandi Supaat,103.83200104426263,1.3457748681686967,Saktiandi_Supaat,People's Action Party,Malay,Male,MP,14.0,Backbencher,,,,,,
72,MARINE PARADE,GRC,Seah Kian Peng,103.90294501309562,1.323185931283781,Seah_Kian_Peng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,Communications & Information,Social & Family Development,,GPC Member,GPC Chairperson,
73,JURONG,GRC,Shawn Huang,103.74531091402933,1.3351045698818773,Shawn_Huang,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
74,HOLLAND-BUKIT TIMAH,GRC,Sim Ann,103.78784256612474,1.3658475267644983,Sim_Ann,People's Action Party,Chinese,Female,MP,14.0,Cabinet,National Development,Communications & Information,,Senior Minister of State,Senior Minister of State,
75,POTONG PASIR,SMC,Sitoh Yih Pin,103.87390067971462,1.334535425663624,Sitoh_Yih_Pin,People's Action Party,Chinese,Male,MP,14.0,Backbencher,"Culture, Community and Youth",Home Affairs,Law,GPC Chairperson,GPC Member,
76,PUNGGOL WEST,SMC,Sun Xueling,103.8959447056464,1.403922616470893,Sun_Xueling,People's Action Party,Chinese,Female,MP,14.0,Cabinet,Education,Social & Family Development,,Minister of State,Minister of State,
77,ALJUNIED,GRC,Sylvia Lim,103.90292967503645,1.355507088429944,Sylvia_Lim,Workers' Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
78,MARINE PARADE,GRC,Tan Chuan-Jin,103.90294501309562,1.323185931283781,Tan_Chuan-Jin,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
79,EAST COAST,GRC,Tan Kiat How,104.0039252255161,1.3696027642662085,Tan_Kiat_How,People's Action Party,Chinese,Male,MP,14.0,Cabinet,PMO,National Development,,Minister of State,Minister of State,
80,MARINE PARADE,GRC,Tan See Leng,103.90294501309562,1.323185931283781,Tan_See_Leng,People's Action Party,Chinese,Male,MP,14.0,Cabinet,PMO,Manpower,Trade and Industry,Minister,Second Minister,Second Minister
81,JURONG,GRC,Tan Wu Meng,103.74531091402933,1.3351045698818773,Tan_Wu_Meng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
82,PASIR RIS-PUNGGOL,GRC,Teo Chee Hean,103.93133564966094,1.3897010798327318,Teo_Chee_Hean,People's Action Party,Chinese,Male,MP,14.0,Cabinet,PMO,,,Coordinating Minister for National Security,Senior Minister,
83,JURONG,GRC,Tharman Shanmugaratnam,103.74531091402933,1.3351045698818773,Tharman_Shanmugaratnam,People's Action Party,Indian,Male,MP,14.0,Cabinet,PMO,,,Coordinating Minister for Social Policies,Senior Minister,
84,MACPHERSON,SMC,Tin Pei Ling,103.88606828160141,1.3240201744693818,Tin_Pei_Ling,People's Action Party,Chinese,Female,MP,14.0,Backbencher,Communications & Information,"Culture, Community and Youth",,GPC Chairperson,GPC Member,
85,SEMBAWANG,GRC,Vikram Nair,103.80908110818795,1.4513477546371436,Vikram_Nair,People's Action Party,Indian,Male,MP,14.0,Backbencher,,,,,,
86,HOLLAND-BUKIT TIMAH,GRC,Vivian Balakrishnan,103.78784256612474,1.3658475267644983,Vivian_Balakrishnan,People's Action Party,Indian,Male,MP,14.0,Cabinet,Foreign Affairs,,,Minister,,
87,JALAN BESAR,GRC,Wan Rizal,103.85724253059061,1.3002027735192085,Wan_Rizal,People's Action Party,Malay,Male,MP,14.0,Backbencher,,,,,,
88,JURONG,GRC,Xie Yao Quan,103.74531091402933,1.3351045698818773,Xie_Yao_Quan,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
89,PASIR RIS-PUNGGOL,GRC,Yeo Wan Ling,103.93133564966094,1.3897010798327318,Yeo_Wan_Ling,People's Action Party,Chinese,Female,MP,14.0,Backbencher,,,,,,
90,YIO CHU KANG,SMC,Yip Hon Weng,103.83875944301174,1.3839808437604324,Yip_Hon_Weng,People's Action Party,Chinese,Male,MP,14.0,Backbencher,,,,,,
91,MARSILING-YEW TEE,GRC,Zaqy Mohamad,103.76572659755615,1.4232251406725156,Zaqy_Mohamad,People's Action Party,Malay,Male,MP,14.0,Cabinet,Manpower,Defence,,Senior Minister of State,Senior Minister of State,
92,CHUA CHU KANG,GRC,Zhulkarnain Abdul Rahim,103.70446433188238,1.394100444743377,Zhulkarnain_Abdul_Rahim,People's Action Party,Malay,Male,MP,14.0,Backbencher,Defence,Foreign Affairs,Law,GPC Member,GPC Member,GPC Deputy Chairperson
