Division,Type,Name
Marsiling-Yew Tee,GRC,Alex Yam
Tanjong Pagar,GRC,Alvin Tan
Hong Kah North,SMC,Amy Khor
West Coast,GRC,Ang Wei Neng
Tampines,GRC,Baey Yam Keng
Nee Soon,GRC,Carrie Tan
Tanjong Pagar,GRC,Chan Chun Sing
Bishan-Toa Payoh,,Chee Hong Tat
Tampines,GRC,Cheng Li Hui
East Coast,GRC,Cheryl Chan
Bishan-Toa Payoh,GRC,Chong Kee Hiong
Holland-Bukit Timah,GRC,Christopher de Souza
Ang Mo Kio,GRC,Darryl David
Jalan Besar,GRC,Denise Phua
Hougang,SMC,Dennis Tan
Nee Soon,GRC,Derrick Goh
Tampines,GRC,Desmond Choo
West Coast,GRC,Desmond Lee
Pasir Ris-Punggol,GRC,Desmond Tan
Chua Chu Kang,GRC,Don Wee
Holland-Bukit Timah,GRC,Edward Chia
Marine Parade,GRC,Edwin Tong
Tanjong Pagar,GRC,Eric Chua
West Coast,GRC,Foo Mee Har
Chua Chu Kang,GRC,Gan Kim Yong
Marymount,SMC,Gan Siow Huang
Ang Mo Kio,GRC,Gan Thiam Poh
Aljunied,GRC,Gerald Giam
Yuhua,SMC,Grace Fu
Marsiling-Yew Tee,GRC,Hany Soh
Sengkang,GRC,He Ting Ru
Jalan Besar,GRC,Heng Chee How
East Coast,GRC,Heng Swee Keat
Kebun Baru,SMC,Henry Kwek
Tanjong Pagar,GRC,Indranee Rajah
Sengkang,GRC,Jamus Lim
Pasir Ris-Punggol,GRC,Janil Puthucheary
East Coast,GRC,Jessica Tan
Tanjong Pagar,GRC,Joan Pereira
Jalan Besar,GRC,Josephine Teo
Nee Soon,GRC,K. Shanmugam
Tampines,GRC,Koh Poh Koon
Marsiling-Yew Tee,GRC,Lawrence Wong
Ang Mo Kio,GRC,Lee Hsien Loong
Aljunied,GRC,Leon Perera
Bukit Panjang,SMC,Liang Eng Hwa
Mountbatten,SMC,Lim Biow Chuan
Sembawang,GRC,Lim Wee Kiak
Sengkang,GRC,Louis Chua
Nee Soon,GRC,Louis Ng
Chua Chu Kang,GRC,Low Yen Ling
East Coast,GRC,Maliki Osman
Sembawang,GRC,Mariam Jaafar
Tampines,GRC,Masagos Zulkifli
Radin Mas,SMC,Melvin Yong
Pasir Ris-Punggol,GRC,Mohamed Sharael Taha
Marine Parade,GRC,Mohd Fahmi Aliman
Aljunied,GRC,Muhamad Faisal Manap
Nee Soon,GRC,Muhammad Faishal Ibrahim
Bukit Batok,SMC,Murali Pillai
Ang Mo Kio,GRC,Nadia Ahmad Samdin
Bishan-Toa Payoh,GRC,Ng Eng Hen
Ang Mo Kio,GRC,Ng Ling Ling
Sembawang,GRC,Ong Ye Kung
Pioneer,SMC,Patrick Tay
Sembawang,GRC,Poh Li San
Aljunied,GRC,Pritam Singh
West Coast,GRC,Rachel Ong
Sengkang,GRC,Raeesah Khan
Jurong,GRC,Rahayu Mahzam
West Coast,GRC,S. Iswaran
Bishan-Toa Payoh,GRC,Saktiandi Supaat
Marine Parade,GRC,Seah Kian Peng
Jurong,GRC,Shawn Huang
Holland-Bukit Timah,GRC,Sim Ann
Potong Pasir,SMC,Sitoh Yih Pin
Punggol West,SMC,Sun Xueling
Aljunied,GRC,Sylvia Lim
Marine Parade,GRC,Tan Chuan-Jin
East Coast,GRC,Tan Kiat How
Marine Parade,GRC,Tan See Leng
Jurong,GRC,Tan Wu Meng
Pasir Ris-Punggol,GRC,Teo Chee Hean
Jurong,GRC,Tharman Shanmugaratnam
MacPherson,SMC,Tin Pei Ling
Sembawang,GRC,Vikram Nair
Holland-Bukit Timah,GRC,Vivian Balakrishnan
Jalan Besar,GRC,Wan Rizal
Jurong,GRC,Xie Yao Quan
Pasir Ris-Punggol,GRC,Yeo Wan Ling
Yio Chu Kang,SMC,Yip Hon Weng
Marsiling-Yew Tee,GRC,Zaqy Mohamad
Chua Chu Kang,GRC,Zhulkarnain Abdul Rahim