,Division,Type,Name,lat,long,Ward,lat_ward,lon_ward,newName,Party,Age,Years_In_Politics,Ethnicity,Gender,Grassroots_Experience,First_Occupation,Previous_Occupation,Previous/Current_Role,Previous_Employer,Title,Parliament,Type.1,Ministry_1,Ministry_2,Ministry_3,Title_1,Title_2,Title_3,Defence,Foreign Affairs,Health,Transport,Sustainability and the Environment,Social & Family Development,Communications & Information,"Culture, Community and Youth",Education,Trade and Industry,Manpower,Finance,PMO,Law,National Development,Home Affairs,Age_group,X,Y,color,color1,color2,color4,color3,X1,Y1,code
61,BISHAN-TOA PAYOH,GRC,Ng Eng Hen,103.83200104426263,1.3457748681686967,Toa Payoh Central,103.84701440295095,1.3336686075041595,Ng_Eng_Hen,People's Action Party,61,19,Chinese,Male,No,Specialist - Healthcare,Specialist - Healthcare,Colorectal Surgeon,Mount Elizabeth Hospital,MP,14,Cabinet,Defence,,,Minister,Minister,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60 - 65,1.0382901,2.1766763,"rgb(0,255,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.9792609,0.33620256,1000000000000000
62,ANG MO KIO,GRC,Ng Ling Ling,103.86714718048466,1.3952294508760836,Jalan Kayu,103.87045915179989,1.4058076173047178,Ng_Ling_Ling,People's Action Party,48,0,Chinese,Female,Yes,Finance,Public Service (Social/Healthcare),Senior Management,Ministry of Health,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,0.39384022,-1.9706337,"rgb(0,0,255)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.2681596,1.6339018,0000000000000000
63,SEMBAWANG,GRC,Ong Ye Kung,103.80908110818795,1.4513477546371436,Sembawang Central,103.82889625033354,1.4522806939581894,Ong_Ye_Kung,People's Action Party,50,5,Chinese,Male,No,Public Service (Multiple Statutory Boards),Public Service (Labour),Senior Management,NTUC,MP,14,Cabinet,Transport,,,Minister,Minister,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.4701166,1.3863801,"rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.4716712,1.9845619,0001000000000000
64,PIONEER,SMC,Patrick Tay,103.70086108366782,1.3382007899953416,PIONEER SMC,103.70084553824917,1.3382328789502866,Patrick_Tay,People's Action Party,48,9,Chinese,Male,Yes,Military or Police Force,Public Service (Labour),Senior Management,NTUC,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-0.546131,0.5699421,"rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.5085868,1.7632316,0000000000000000
65,SEMBAWANG,GRC,Poh Li San,103.80908110818795,1.4513477546371436,Sembawang West,103.80471860379686,1.4571931350124283,Poh_Li_San,People's Action Party,44,0,Chinese,Female,Yes,Military or Police Force,Infrastructure (Transport/Telecomms/Real Estate),Senior Management,Changi Airport Group,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,0.07371511,-2.1247933,"rgb(255,69,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.1511135,0.9399731,0000000000000000
66,ALJUNIED,GRC,Pritam Singh,103.90292967503645,1.355507088429944,Eunos,103.90861650103017,1.3357894828782308,Pritam_Singh,Workers' Party,44,9,Indian,Male,Yes,Military or Police Force,Law,,"Donaldson & Burkinshaw,",MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,1.0581154,0.8393158,"rgb(0,128,128)","rgb(199,21,133)","rgb(199,21,133)","rgb(139,0,0)","rgb(255,0,0)",-0.720007,-0.885525,0000000000000000
67,WEST COAST,GRC,Rachel Ong,103.70596113525787,1.2890019271367006,Telok Blangah,103.77430612431824,1.226770189633652,Rachel_Ong,People's Action Party,47,0,Chinese,Female,Yes,Social Enterprise/Charity,Social Enterprise/Charity,CEO,ROHEI,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,0.6539818,-2.2689872,"rgb(0,100,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.846037,1.1194923,0000000000000000
68,SENGKANG,GRC,Raeesah Khan,103.89704746574907,1.3901613973187283,Compassvale,103.89798749696385,1.3931457565487853,Raeesah_Khan,Workers' Party,26,0,Malay,Female,Yes,Social Enterprise/Charity,Social Enterprise/Charity,CEO,Reyna Movement,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Less than 35,1.0583873,-2.6331656,"rgb(0,100,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(139,0,0)","rgb(0,255,0)",3.363927,0.7110313,0000000000000000
69,JURONG,GRC,Rahayu Mahzam,103.74531091402933,1.3351045698818773,Bukit Batok East,103.75763079780289,1.3370880162740506,Rahayu_Mahzam,People's Action Party,40,5,Malay,Female,Yes,Law,Law,Partner,"Heng, Leong & Srinivasan",MP,14,Cabinet,Health,,,Parliamentary Secretaries,Parliamentary Secretaries,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,1.9276882,-2.4104083,"rgb(0,128,128)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,255,0)",1.1834733,-1.7878948,0010000000000000
70,WEST COAST,GRC,S. Iswaran,103.70596113525787,1.2890019271367006,West Coast,103.75960416954291,1.306507345842564,S_Iswaran,People's Action Party,58,23,Indian,Male,No,Public Service / Govt-linked (Biz Dev),Public Service / Govt-linked (Biz Dev),Senior Management,Temasek Holdings,MP,14,Cabinet,Communications & Information,Trade and Industry,,Minister,Minister,,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,55 - 60,1.5882154,2.3080716,"rgb(188,143,143)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.759285,-0.16230662,0000001001000000
71,BISHAN-TOA PAYOH,GRC,Saktiandi Supaat,103.83200104426263,1.3457748681686967,Toa Payoh East,103.85725345288554,1.3364414381553238,Saktiandi_Supaat,People's Action Party,46,5,Malay,Male,Yes,Finance,Finance,Senior Management,Maybank,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45 - 50,-1.2950392,0.2531017,"rgb(47,79,79)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,0)",-2.1277223,1.9555843,0000000000000000
72,MARINE PARADE,GRC,Seah Kian Peng,103.90294501309562,1.323185931283781,Braddell Heights,103.8709661640402,1.3484723642097864,Seah_Kian_Peng,People's Action Party,58,14,Chinese,Male,Yes,Public Service (Labour),Public Service (Labour),CEO,NTUC Enterprise,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,0.82449377,0.025219252,"rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.106419444,0.42573783,0000000000000000
73,JURONG,GRC,Shawn Huang,103.74531091402933,1.3351045698818773,Jurong Spring,103.71915256752844,1.3490220403948263,Shawn_Huang,People's Action Party,38,0,Chinese,Male,Yes,Military or Police Force,Military or Police Force,Lieutenant-Colonel,SAF,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,-1.1510375,-0.6709282,"rgb(50,205,50)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.41677532,2.4606638,0000000000000000
74,HOLLAND-BUKIT TIMAH,GRC,Sim Ann,103.78784256612474,1.3658475267644983,Bukit Timah,103.78984653800711,1.3355480288643846,Sim_Ann,People's Action Party,45,9,Chinese,Female,No,Public Service (Multiple Statutory Boards),Public Service (Multiple Statutory Boards),Senior Management,International Enterprise Singapore,MP,14,Cabinet,Communications & Information,National Development,,Senior Minister of State,Senior Minister of State,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,40 - 45,2.3160415,-0.26025492,"rgb(255,215,0)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",1.936551,0.77463305,0000001000000010
75,POTONG PASIR,SMC,Sitoh Yih Pin,103.87390067971462,1.334535425663624,POTONG PASIR SMC,103.8738941898909,1.3345104609468021,Sitoh_Yih_Pin,People's Action Party,56,9,Chinese,Male,Yes,Finance,Entrepreneur,Founder,Nexia TS Public Accounting,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,0.45396057,-0.21597558,"rgb(0,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.2764347,0.77817875,0000000000000000
76,PUNGGOL WEST,SMC,Sun Xueling,103.8959447056464,1.403922616470893,PUNGGOL WEST SMC,103.89556088719729,1.404053448242318,Sun_Xueling,People's Action Party,41,5,Chinese,Female,No,Public Service / Govt-linked (Biz Dev),Public Service / Govt-linked (Biz Dev),Senior Management,"Temasek International,",MP,14,Cabinet,Education,Social & Family Development,,Minister of State,Minister of State,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,40 - 45,-0.4207411,-2.92258,"rgb(188,143,143)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.714863,0.077771,0000010010000000
77,ALJUNIED,GRC,Sylvia Lim,103.90292967503645,1.355507088429944,Paya Lebar,103.88675025626878,1.3561033975684669,Sylvia_Lim,Workers' Party,55,14,Chinese,Female,No,Law,Education,Professor,Temasek Polytechnic,MP,14,Opposition,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,1.8817856,-1.1938481,"rgb(255,228,225)","rgb(139,0,0)","rgb(139,0,0)","rgb(139,0,0)","rgb(0,0,255)",1.960048,-0.6610352,0000000000000000
78,MARINE PARADE,GRC,Tan Chuan-Jin,103.90294501309562,1.323185931283781,Kembangan-Chai Chee,103.91331499939125,1.3254035520680376,Tan_Chuan-Jin,People's Action Party,51,9,Chinese,Male,No,Military or Police Force,Military or Police Force,Brigadier-General.,SAF,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50 - 55,-0.57653844,0.365259,"rgb(50,205,50)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.3190587,1.8807755,0000000000000000
79,EAST COAST,GRC,Tan Kiat How,104.0039261184903,1.3696034901246614,Kampong Chai Chee,103.93473411287134,1.332035136668486,Tan_Kiat_How,People's Action Party,43,0,Chinese,Male,No,Public Service (Social/Healthcare),Public Service (Social/Healthcare),CEO,IMDA,MP,14,Cabinet,PMO,National Development,,Minister of State,Minister of State,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,40 - 45,-1.6015459,-1.5193923,"rgb(0,0,255)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",1.0899923,2.2345695,0000000000001010
80,MARINE PARADE,GRC,Tan See Leng,103.90294501309562,1.323185931283781,Marine Parade,103.90715537263011,1.3068474719946024,Tan_See_Leng,People's Action Party,55,0,Chinese,Male,Yes,Entrepreneur,Public Service (Social/Healthcare),CEO,Healthway Medical Group,MP,14,Cabinet,PMO,Manpower,Trade and Industry,Minister,Minister,Second Minister,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,50 - 55,-1.7088299,-1.2268277,"rgb(0,0,255)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",1.1465427,2.5465415,0000000001101000
81,JURONG,GRC,Tan Wu Meng,103.74531091402933,1.3351045698818773,Clementi,103.76454758839864,1.315559659269714,Tan_Wu_Meng,People's Action Party,45,5,Chinese,Male,Yes,Specialist - Healthcare,Specialist - Healthcare,Oncologist,Singapore General Hospital,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.15747838,-0.18289861,"rgb(0,255,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-1.4887985,0.73858863,0000000000000000
82,PASIR RIS-PUNGGOL,GRC,Teo Chee Hean,103.93133564966094,1.3897010798327318,Pasir Ris West,103.93143465168377,1.3854221420155723,Teo_Chee_Hean,People's Action Party,65,28,Chinese,Male,No,Military or Police Force,Military or Police Force,Chief of Navy,SAF,MP,14,Cabinet,PMO,,,Senior Minister,Senior Minister,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60 - 65,-1.5636854,0.3909368,"rgb(50,205,50)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",-0.30283117,2.4828796,0000000000001000
83,JURONG,GRC,Tharman Shanmugaratnam,103.74531091402933,1.3351045698818773,Taman Jurong,103.72858178128314,1.3340510772713983,Tharman_Shanmugaratnam,People's Action Party,63,19,Indian,Male,No,Public Service (Finance),Public Service (Finance),Director,Monetary Authority of Singapore,MP,14,Cabinet,PMO,,,Senior Minister,Senior Minister,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,60 - 65,1.2183905,2.4934,"rgb(255, 105, 180)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.4151201,-0.24565119,0000000000001000
84,MACPHERSON,SMC,Tin Pei Ling,103.88606828160141,1.3240201744693818,MACPHERSON SMC,103.8860861555305,1.3239915243717046,Tin_Pei_Ling,People's Action Party,36,9,Chinese,Female,Yes,Biz Dev,Biz Dev,Senior Associate,Ernst & Young,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,0.9506892,-1.5294764,"rgb(255,0,0)","rgb(199,21,133)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.7847383,1.8329259,0000000000000000
85,SEMBAWANG,GRC,Vikram Nair,103.80908110818795,1.4513477546371436,Admiralty,103.80073676069333,1.4336594845510298,Vikram_Nair,People's Action Party,42,9,Indian,Male,No,Law,Law,Partner,Rajah & Tann,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,1.3920605,0.817142,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-0.520728,-1.1099151,0000000000000000
86,HOLLAND-BUKIT TIMAH,GRC,Vivian Balakrishnan,103.78784256612474,1.3658475267644983,Cashew,103.76910021428228,1.3687521384898993,Vivian_Balakrishnan,People's Action Party,59,19,Indian,Male,No,Specialist - Healthcare,Specialist - Healthcare,Opthalmologist,National University Hospital,MP,14,Cabinet,Foreign Affairs,,,Minister,Minister,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55 - 60,1.3370697,2.2842119,"rgb(0,255,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(255,0,0)",-2.4481475,0.07847534,0100000000000000
87,JALAN BESAR,GRC,Wan Rizal,103.85724253059061,1.3002027735192085,Kolam Ayer,103.87150584323217,1.3170848108105584,Wan_Rizal,People's Action Party,41,0,Malay,Male,Yes,Education,Education,Senior Lecturer,Republic Polytechnic,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.51517886,-1.2585629,"rgb(255,228,225)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,0)",-1.5729444,-1.1616814,0000000000000000
88,JURONG,GRC,Xie Yao Quan,103.74531091402933,1.3351045698818773,Jurong Central,103.72805605958307,1.3499662413943885,Xie_Yao_Quan,People's Action Party,35,0,Chinese,Male,Yes,Biz Dev,Public Service (Social/Healthcare),Senior Management,Alexandra Hospital,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Less than 35,-0.9931486,-1.2041297,"rgb(0,0,255)","rgb(199,21,133)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",1.0911258,2.6749172,0000000000000000
89,PASIR RIS-PUNGGOL,GRC,Yeo Wan Ling,103.93133564966094,1.3897010798327318,Punggol North,103.91286014266208,1.3963847303459525,Yeo_Wan_Ling,People's Action Party,44,0,Chinese,Female,No,Public Service / Govt-linked (Biz Dev),Social Enterprise/Charity,CEO,Caregiver Asia,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,0.42645463,-2.2865548,"rgb(0,100,0)","rgb(139,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(0,0,255)",2.6144423,0.7294249,0000000000000000
90,YIO CHU KANG,SMC,Yip Hon Weng,103.83875944301174,1.3839808437604324,YIO CHU KANG SMC,103.83873503332958,1.3840608212754573,Yip_Hon_Weng,People's Action Party,43,0,Chinese,Male,No,Education,Public Service (Multiple Statutory Boards),Senior Management,Ministry of Health,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40 - 45,-0.5678669,-1.1102961,"rgb(255,215,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,0,255)",0.92341584,1.8841925,0000000000000000
91,MARSILING-YEW TEE,GRC,Zaqy Mohamad,103.76572659755615,1.4232251406725156,Marsiling,103.77311903735792,1.4386030334134647,Zaqy_Mohamad,People's Action Party,45,14,Malay,Male,No,Biz Dev,Biz Dev,Senior Management,Solutions Avanade,MP,14,Cabinet,Manpower,Defence,,Senior Minister of State,Senior Minister of State,,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,40 - 45,-0.08623583,1.9888191,"rgb(255,0,0)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,0)",-1.2190813,-0.45521924,1000000000100000
92,CHUA CHU KANG,GRC,Zhulkarnain Abdul Rahim,103.70446433188243,1.394100444743376,Keat Hong,103.69899911437233,1.3971287814070694,Zhulkarnain_Abdul_Rahim,People's Action Party,39,0,Malay,Male,No,Law,Law,Partner,Dentons Rodyk and Davidson,MP,14,Backbencher,,,,Member of Parliament,Member of Parliament,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35 - 40,0.7073173,-1.3510983,"rgb(0,128,128)","rgb(139,0,0)","rgb(199,21,133)","rgb(199,21,133)","rgb(0,255,0)",0.5783333,-1.5255711,0000000000000000
